timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1783489012287,136,1_로그인,200,,Thread Group 1-18,text,true,,862,295,2,2,http://localhost:8081/api/v1/auth/login,136,0,2
1783489012424,7,2_내프로필조회,200,,Thread Group 1-18,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,7,0,0
1783489012432,6,3_타유저프로필조회,200,,Thread Group 1-18,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/8db09a8b-5356-49d7-b7cb-61ea65fd6bbf,5,0,0
1783489012385,146,1_로그인,200,,Thread Group 1-19,text,true,,862,295,2,2,http://localhost:8081/api/v1/auth/login,146,0,1
1783489012532,6,2_내프로필조회,200,,Thread Group 1-19,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,6,0,0
1783489012539,5,3_타유저프로필조회,200,,Thread Group 1-19,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/34f79bcd-48cb-4105-af74-9e692ea42723,5,0,0
1783489012484,132,1_로그인,200,,Thread Group 1-20,text,true,,862,295,2,2,http://localhost:8081/api/v1/auth/login,131,0,4
1783489012616,9,2_내프로필조회,200,,Thread Group 1-20,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,9,0,0
1783489012626,13,3_타유저프로필조회,200,,Thread Group 1-20,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/fe6e5170-0394-40ae-8113-30aef289e66b,12,0,0
1783489012584,127,1_로그인,200,,Thread Group 1-21,text,true,,862,295,2,2,http://localhost:8081/api/v1/auth/login,127,0,1
1783489012711,9,2_내프로필조회,200,,Thread Group 1-21,text,true,,557,215,2,2,http://localhost:8081/api/v1/users/me,9,0,0
1783489012720,6,3_타유저프로필조회,200,,Thread Group 1-21,text,true,,486,249,2,2,http://localhost:8081/api/v1/users/f94e29d4-9453-4fe5-b1f6-4c42b78a4420,6,0,0
1783489012685,119,1_로그인,200,,Thread Group 1-22,text,true,,862,295,2,2,http://localhost:8081/api/v1/auth/login,118,0,0
